json_key,md5_list,val,md5_checksum,md5_list_minus_one,json_key_minus_one,file_name,etl_record_updated
"[""r"", ""ServiceReply_GetBusinessEventDetailReply"", ""TargetEventDetail_RiskLocation""]","[""0b29703618348d201d647d8d73d4dd95"", ""4a655a5ba3cf1d557049f40ccf1c83b0"", ""8629ba9d38003b11cdfadef48b818bea""]","{""at-locationKey"": ""1"", ""USAddress_Street"": ""VylU)myCyV$Ar$v/T"", ""USAddress_City"": ""ROCKY MT"", ""USAddress_County"": ""Nash"", ""USAddress_State"": ""NC"", ""USAddress_ZipCode"": ""85717"", ""USAddress_Country"": ""US"", ""AdditionalDetails_CountyName"": ""NASH"", ""AdditionalDetails_TerritoryCode"": ""240"", ""USAddress_ZipCodeFirst"": ""27804"", ""USAddress_ZipCodeLast"": ""334"", ""json_key"": ""r, ServiceReply_GetBusinessEventDetailReply, TargetEventDetail_RiskLocation"", ""md5_list"": ""0b29703618348d201d647d8d73d4dd95, 4a655a5ba3cf1d557049f40ccf1c83b0, 8629ba9d38003b11cdfadef48b818bea"", ""md5_checksum"": ""0b29703618348d201d647d8d73d4dd95"", ""md5_list_minus_one"": ""0b29703618348d201d647d8d73d4dd95, 4a655a5ba3cf1d557049f40ccf1c83b0"", ""json_key_minus_one"": ""r, ServiceReply_GetBusinessEventDetailReply"", ""file_name"": ""PolicyXml_DRC_20191028113545453865_0640DC92A152B0A9"", ""etl_record_updated"": ""2020-11-03 13:16:51.501972""}",0b29703618348d201d647d8d73d4dd95,"[""0b29703618348d201d647d8d73d4dd95"", ""4a655a5ba3cf1d557049f40ccf1c83b0""]","[""r"", ""ServiceReply_GetBusinessEventDetailReply""]",PolicyXml_DRC_20191028113545453865_0640DC92A152B0A9,2020-11-03 13:16:51.5019720
"[""r"", ""ServiceReply_GetBusinessEventDetailReply"", ""TargetEventDetail_VacClass"", ""PremiumComponents_PremiumComponent"", ""Detail""]","[""0b29703618348d201d647d8d73d4dd95"", ""4a655a5ba3cf1d557049f40ccf1c83b0"", ""5cc071a784ea5ce6dcef440741836485"", ""05d1059269d0e670d4fe6c990945d366"", ""900ed6ff82a971dff77bf54352fa8275""]","{""Name"": ""TermPremium"", ""Value_Decimal"": ""605.00"", ""json_key"": ""r, ServiceReply_GetBusinessEventDetailReply, TargetEventDetail_VacClass, PremiumComponents_PremiumComponent, Detail"", ""md5_list"": ""0b29703618348d201d647d8d73d4dd95, 4a655a5ba3cf1d557049f40ccf1c83b0, 5cc071a784ea5ce6dcef440741836485, 05d1059269d0e670d4fe6c990945d366, 900ed6ff82a971dff77bf54352fa8275"", ""md5_checksum"": ""0b29703618348d201d647d8d73d4dd95"", ""md5_list_minus_one"": ""0b29703618348d201d647d8d73d4dd95, 4a655a5ba3cf1d557049f40ccf1c83b0, 5cc071a784ea5ce6dcef440741836485, 05d1059269d0e670d4fe6c990945d366"", ""json_key_minus_one"": ""r, ServiceReply_GetBusinessEventDetailReply, TargetEventDetail_VacClass, PremiumComponents_PremiumComponent"", ""file_name"": ""PolicyXml_DRC_20191028113545453865_0640DC92A152B0A9"", ""etl_record_updated"": ""2020-11-03 13:16:51.501972""}",0b29703618348d201d647d8d73d4dd95,"[""0b29703618348d201d647d8d73d4dd95"", ""4a655a5ba3cf1d557049f40ccf1c83b0"", ""5cc071a784ea5ce6dcef440741836485"", ""05d1059269d0e670d4fe6c990945d366""]","[""r"", ""ServiceReply_GetBusinessEventDetailReply"", ""TargetEventDetail_VacClass"", ""PremiumComponents_PremiumComponent""]",PolicyXml_DRC_20191028113545453865_0640DC92A152B0A9,2020-11-03 13:16:51.5019720
"[""r"", ""ServiceReply_GetBusinessEventDetailReply"", ""TargetEventDetail_Umbrella"", ""Coverages_Coverage"", ""Detail""]","[""0b29703618348d201d647d8d73d4dd95"", ""4a655a5ba3cf1d557049f40ccf1c83b0"", ""ffeae4f9973ed54a78e5e665b663d971"", ""6f97e386bba67504ecbd7ed3383d417e"", ""bf2822e7e8a7c9a9267f33f9ce72b08b""]","{""Name"": ""CoverageCode"", ""Value_text"": ""AddlOwnedPrem"", ""json_key"": ""r, ServiceReply_GetBusinessEventDetailReply, TargetEventDetail_Umbrella, Coverages_Coverage, Detail"", ""md5_list"": ""0b29703618348d201d647d8d73d4dd95, 4a655a5ba3cf1d557049f40ccf1c83b0, ffeae4f9973ed54a78e5e665b663d971, 6f97e386bba67504ecbd7ed3383d417e, bf2822e7e8a7c9a9267f33f9ce72b08b"", ""md5_checksum"": ""0b29703618348d201d647d8d73d4dd95"", ""md5_list_minus_one"": ""0b29703618348d201d647d8d73d4dd95, 4a655a5ba3cf1d557049f40ccf1c83b0, ffeae4f9973ed54a78e5e665b663d971, 6f97e386bba67504ecbd7ed3383d417e"", ""json_key_minus_one"": ""r, ServiceReply_GetBusinessEventDetailReply, TargetEventDetail_Umbrella, Coverages_Coverage"", ""file_name"": ""PolicyXml_DRC_20191028113545453865_0640DC92A152B0A9"", ""etl_record_updated"": ""2020-11-03 13:16:51.501972""}",0b29703618348d201d647d8d73d4dd95,"[""0b29703618348d201d647d8d73d4dd95"", ""4a655a5ba3cf1d557049f40ccf1c83b0"", ""ffeae4f9973ed54a78e5e665b663d971"", ""6f97e386bba67504ecbd7ed3383d417e""]","[""r"", ""ServiceReply_GetBusinessEventDetailReply"", ""TargetEventDetail_Umbrella"", ""Coverages_Coverage""]",PolicyXml_DRC_20191028113545453865_0640DC92A152B0A9,2020-11-03 13:16:51.5019720
"[""r"", ""ServiceReply_GetBusinessEventDetailReply"", ""TargetEventDetail_Umbrella"", ""Coverages_Coverage"", ""PremiumComponents_PremiumComponent"", ""Detail""]","[""0b29703618348d201d647d8d73d4dd95"", ""4a655a5ba3cf1d557049f40ccf1c83b0"", ""ffeae4f9973ed54a78e5e665b663d971"", ""4f00f76e29e70304ad937c1932e9d16f"", ""cfab4975687445904a1c1cb7c8a8407a"", ""b005b8bc0c49352cb55c3ba1992cbc91""]","{""Name"": ""TermPremium"", ""Value_Decimal"": ""26.00"", ""json_key"": ""r, ServiceReply_GetBusinessEventDetailReply, TargetEventDetail_Umbrella, Coverages_Coverage, PremiumComponents_PremiumComponent, Detail"", ""md5_list"": ""0b29703618348d201d647d8d73d4dd95, 4a655a5ba3cf1d557049f40ccf1c83b0, ffeae4f9973ed54a78e5e665b663d971, 4f00f76e29e70304ad937c1932e9d16f, cfab4975687445904a1c1cb7c8a8407a, b005b8bc0c49352cb55c3ba1992cbc91"", ""md5_checksum"": ""0b29703618348d201d647d8d73d4dd95"", ""md5_list_minus_one"": ""0b29703618348d201d647d8d73d4dd95, 4a655a5ba3cf1d557049f40ccf1c83b0, ffeae4f9973ed54a78e5e665b663d971, 4f00f76e29e70304ad937c1932e9d16f, cfab4975687445904a1c1cb7c8a8407a"", ""json_key_minus_one"": ""r, ServiceReply_GetBusinessEventDetailReply, TargetEventDetail_Umbrella, Coverages_Coverage, PremiumComponents_PremiumComponent"", ""file_name"": ""PolicyXml_DRC_20191028113545453865_0640DC92A152B0A9"", ""etl_record_updated"": ""2020-11-03 13:16:51.501972""}",0b29703618348d201d647d8d73d4dd95,"[""0b29703618348d201d647d8d73d4dd95"", ""4a655a5ba3cf1d557049f40ccf1c83b0"", ""ffeae4f9973ed54a78e5e665b663d971"", ""4f00f76e29e70304ad937c1932e9d16f"", ""cfab4975687445904a1c1cb7c8a8407a""]","[""r"", ""ServiceReply_GetBusinessEventDetailReply"", ""TargetEventDetail_Umbrella"", ""Coverages_Coverage"", ""PremiumComponents_PremiumComponent""]",PolicyXml_DRC_20191028113545453865_0640DC92A152B0A9,2020-11-03 13:16:51.5019720
"[""r"", ""ServiceReply_GetBusinessEventDetailReply"", ""TargetEventDetail_Umbrella"", ""Coverages_Coverage"", ""PremiumComponents_PremiumComponent""]","[""0b29703618348d201d647d8d73d4dd95"", ""4a655a5ba3cf1d557049f40ccf1c83b0"", ""ffeae4f9973ed54a78e5e665b663d971"", ""c95385dde95d47fd1b608253440b7e9f"", ""88a960eb2fc55e2ccdb95b30b9315755""]","{""Identifier_ComponentName"": ""Uninsured Motorist/Underinsured Motorists Premium"", ""json_key"": ""r, ServiceReply_GetBusinessEventDetailReply, TargetEventDetail_Umbrella, Coverages_Coverage, PremiumComponents_PremiumComponent"", ""md5_list"": ""0b29703618348d201d647d8d73d4dd95, 4a655a5ba3cf1d557049f40ccf1c83b0, ffeae4f9973ed54a78e5e665b663d971, c95385dde95d47fd1b608253440b7e9f, 88a960eb2fc55e2ccdb95b30b9315755"", ""md5_checksum"": ""0b29703618348d201d647d8d73d4dd95"", ""md5_list_minus_one"": ""0b29703618348d201d647d8d73d4dd95, 4a655a5ba3cf1d557049f40ccf1c83b0, ffeae4f9973ed54a78e5e665b663d971, c95385dde95d47fd1b608253440b7e9f"", ""json_key_minus_one"": ""r, ServiceReply_GetBusinessEventDetailReply, TargetEventDetail_Umbrella, Coverages_Coverage"", ""file_name"": ""PolicyXml_DRC_20191028113545453865_0640DC92A152B0A9"", ""etl_record_updated"": ""2020-11-03 13:16:51.501972""}",0b29703618348d201d647d8d73d4dd95,"[""0b29703618348d201d647d8d73d4dd95"", ""4a655a5ba3cf1d557049f40ccf1c83b0"", ""ffeae4f9973ed54a78e5e665b663d971"", ""c95385dde95d47fd1b608253440b7e9f""]","[""r"", ""ServiceReply_GetBusinessEventDetailReply"", ""TargetEventDetail_Umbrella"", ""Coverages_Coverage""]",PolicyXml_DRC_20191028113545453865_0640DC92A152B0A9,2020-11-03 13:16:51.5019720
"[""r"", ""ServiceReply_GetBusinessEventDetailReply"", ""TargetEventDetail_PremiumComponents"", ""Component"", ""Detail""]","[""c873067a7d1a45c3f614fc49c5ee2aa0"", ""710fceb68a329883315bdf7926a716f6"", ""96899aaff55c73b0a74d6abccddd4b1e"", ""a1a044b9953236cd38495cf6bea8457f"", ""f7e7fe4445f013690e2ffe7a80589790""]","{""Name"": ""TotalTermPremium"", ""Value_Decimal"": ""586.00"", ""json_key"": ""r, ServiceReply_GetBusinessEventDetailReply, TargetEventDetail_PremiumComponents, Component, Detail"", ""md5_list"": ""c873067a7d1a45c3f614fc49c5ee2aa0, 710fceb68a329883315bdf7926a716f6, 96899aaff55c73b0a74d6abccddd4b1e, a1a044b9953236cd38495cf6bea8457f, f7e7fe4445f013690e2ffe7a80589790"", ""md5_checksum"": ""c873067a7d1a45c3f614fc49c5ee2aa0"", ""md5_list_minus_one"": ""c873067a7d1a45c3f614fc49c5ee2aa0, 710fceb68a329883315bdf7926a716f6, 96899aaff55c73b0a74d6abccddd4b1e, a1a044b9953236cd38495cf6bea8457f"", ""json_key_minus_one"": ""r, ServiceReply_GetBusinessEventDetailReply, TargetEventDetail_PremiumComponents, Component"", ""file_name"": ""PolicyXml_DRC_20191028113332669357_CC91B6A27D0F8D88"", ""etl_record_updated"": ""2020-11-03 13:16:51.501972""}",c873067a7d1a45c3f614fc49c5ee2aa0,"[""c873067a7d1a45c3f614fc49c5ee2aa0"", ""710fceb68a329883315bdf7926a716f6"", ""96899aaff55c73b0a74d6abccddd4b1e"", ""a1a044b9953236cd38495cf6bea8457f""]","[""r"", ""ServiceReply_GetBusinessEventDetailReply"", ""TargetEventDetail_PremiumComponents"", ""Component""]",PolicyXml_DRC_20191028113332669357_CC91B6A27D0F8D88,2020-11-03 13:16:51.5019720
"[""r""]","[""5dcf79b548c63b882fbd73c2b610c525""]","{""ServiceReply_at-xmlns"": ""http://chubb.com/cpi/polsvc/xmlobj"", ""json_key"": ""r"", ""md5_list"": ""5dcf79b548c63b882fbd73c2b610c525"", ""md5_checksum"": ""5dcf79b548c63b882fbd73c2b610c525"", ""md5_list_minus_one"": """", ""json_key_minus_one"": """", ""file_name"": ""PolicyXml_DRC_20191028113438889251_F9423A9B65EBC921"", ""etl_record_updated"": ""2020-11-03 13:16:51.501972""}",5dcf79b548c63b882fbd73c2b610c525,[],[],PolicyXml_DRC_20191028113438889251_F9423A9B65EBC921,2020-11-03 13:16:51.5019720
"[""r"", ""ServiceReply_GetBusinessEventDetailReply"", ""TargetEventDetail_Home"", ""Coverages_Coverage"", ""Detail""]","[""5dcf79b548c63b882fbd73c2b610c525"", ""4bff2cad81f553bf69385c518d62f61a"", ""183c3732dc0051782f6eba54b752d3d0"", ""d038324cc894260672338e232eb8a395"", ""21171d6ad5102c3d129d06948d5a0589""]","{""Name"": ""Subline"", ""Value_text"": ""436"", ""json_key"": ""r, ServiceReply_GetBusinessEventDetailReply, TargetEventDetail_Home, Coverages_Coverage, Detail"", ""md5_list"": ""5dcf79b548c63b882fbd73c2b610c525, 4bff2cad81f553bf69385c518d62f61a, 183c3732dc0051782f6eba54b752d3d0, d038324cc894260672338e232eb8a395, 21171d6ad5102c3d129d06948d5a0589"", ""md5_checksum"": ""5dcf79b548c63b882fbd73c2b610c525"", ""md5_list_minus_one"": ""5dcf79b548c63b882fbd73c2b610c525, 4bff2cad81f553bf69385c518d62f61a, 183c3732dc0051782f6eba54b752d3d0, d038324cc894260672338e232eb8a395"", ""json_key_minus_one"": ""r, ServiceReply_GetBusinessEventDetailReply, TargetEventDetail_Home, Coverages_Coverage"", ""file_name"": ""PolicyXml_DRC_20191028113438889251_F9423A9B65EBC921"", ""etl_record_updated"": ""2020-11-03 13:16:51.501972""}",5dcf79b548c63b882fbd73c2b610c525,"[""5dcf79b548c63b882fbd73c2b610c525"", ""4bff2cad81f553bf69385c518d62f61a"", ""183c3732dc0051782f6eba54b752d3d0"", ""d038324cc894260672338e232eb8a395""]","[""r"", ""ServiceReply_GetBusinessEventDetailReply"", ""TargetEventDetail_Home"", ""Coverages_Coverage""]",PolicyXml_DRC_20191028113438889251_F9423A9B65EBC921,2020-11-03 13:16:51.5019720
"[""r""]","[""e32b6bcdd24f9db8e5c2f53ce986ee4f""]","{""ServiceReply_at-xmlns"": ""http://chubb.com/cpi/polsvc/xmlobj"", ""json_key"": ""r"", ""md5_list"": ""e32b6bcdd24f9db8e5c2f53ce986ee4f"", ""md5_checksum"": ""e32b6bcdd24f9db8e5c2f53ce986ee4f"", ""md5_list_minus_one"": """", ""json_key_minus_one"": """", ""file_name"": ""PolicyXml_DRC_20190517111305293796_26575FA133F8131C"", ""etl_record_updated"": ""2020-11-03 13:16:51.501972""}",e32b6bcdd24f9db8e5c2f53ce986ee4f,[],[],PolicyXml_DRC_20190517111305293796_26575FA133F8131C,2020-11-03 13:16:51.5019720
"[""r"", ""ServiceReply_GetBusinessEventDetailReply"", ""TargetEventDetail_Home"", ""Coverages_Coverage""]","[""e32b6bcdd24f9db8e5c2f53ce986ee4f"", ""21d47766260486e6bce13889d93b52eb"", ""8317ff25efeb3530bbf330e97a87bbc2"", ""f90d1018a660b0dd912b79e9394e0686""]","{""at-busStatus"": ""CANCELED"", ""Identifier_CoverageName"": ""WindorHail"", ""json_key"": ""r, ServiceReply_GetBusinessEventDetailReply, TargetEventDetail_Home, Coverages_Coverage"", ""md5_list"": ""e32b6bcdd24f9db8e5c2f53ce986ee4f, 21d47766260486e6bce13889d93b52eb, 8317ff25efeb3530bbf330e97a87bbc2, f90d1018a660b0dd912b79e9394e0686"", ""md5_checksum"": ""e32b6bcdd24f9db8e5c2f53ce986ee4f"", ""md5_list_minus_one"": ""e32b6bcdd24f9db8e5c2f53ce986ee4f, 21d47766260486e6bce13889d93b52eb, 8317ff25efeb3530bbf330e97a87bbc2"", ""json_key_minus_one"": ""r, ServiceReply_GetBusinessEventDetailReply, TargetEventDetail_Home"", ""file_name"": ""PolicyXml_DRC_20190517111305293796_26575FA133F8131C"", ""etl_record_updated"": ""2020-11-03 13:16:51.501972""}",e32b6bcdd24f9db8e5c2f53ce986ee4f,"[""e32b6bcdd24f9db8e5c2f53ce986ee4f"", ""21d47766260486e6bce13889d93b52eb"", ""8317ff25efeb3530bbf330e97a87bbc2""]","[""r"", ""ServiceReply_GetBusinessEventDetailReply"", ""TargetEventDetail_Home""]",PolicyXml_DRC_20190517111305293796_26575FA133F8131C,2020-11-03 13:16:51.5019720
